Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
784,5.34,4.51,45.26
785,5.38,5.53,15.96
786,5.3,4.44,12.06
787,5.56,5.54,11.83
788,5.35,4.49,52.25
789,5.35,5.49,22.72
790,5.46,4.55,14.56
791,5.47,5.45,20.16
792,5.33,4.5,24.99
793,5.35,5.47,36.87
794,5.35,4.49,18.11
795,5.44,5.49,77.49
796,5.35,4.46,10.85
797,5.49,5.47,27.2
798,5.45,4.52,35.03
799,5.35,5.47,15.75
800,5.34,4.46,15.5
801,5.35,5.46,18.29
802,5.36,4.48,42.37
803,5.46,5.46,64.44
804,5.45,4.47,67.36
805,5.32,5.49,37.83
806,5.45,4.5,14.12
807,5.48,5.54,37.54
808,5.35,4.45,10.26
809,5.38,5.48,9.17
810,5.41,4.57,17.55
811,5.47,5.56,54.48
812,5.42,4.53,14.49
813,5.45,5.54,13.22
814,5.43,4.5,8.13
815,5.44,5.48,11.98
816,5.37,4.57,10.21
817,5.44,5.49,14.33
818,5.33,4.65,19.7
819,5.47,5.51,7.16
820,5.36,4.46,35.37
821,5.39,5.49,82.66
822,5.45,4.48,39.33
823,5.33,5.56,31.4
824,5.44,4.52,19.68
825,5.39,5.49,11.14
826,5.44,4.51,15.94
827,5.43,5.48,24.19
828,5.43,4.45,17.71
829,5.45,5.49,35.63
830,5.33,4.51,31.46
831,5.37,5.5,9.87
832,5.35,4.44,6.54
833,5.34,5.49,50.75
834,5.36,4.47,46.79
835,5.34,5.46,37.5
836,5.34,4.5,31.86
837,5.44,5.48,17.29
838,5.34,4.56,71.26
839,5.35,5.49,35.26
840,5.42,4.48,26
841,5.36,5.6,10.82
842,5.35,4.51,17.07
843,5.43,4.66,27.85
844,5.36,5.58,6.83
845,5.42,4.59,13.13
846,5.37,5.56,22.89
847,5.4,4.47,18.22
848,5.44,5.53,12.58
849,5.35,4.5,22.03
850,5.37,5.47,14.17
851,5.33,4.56,8.06
852,5.44,5.5,9.47
853,5.35,4.5,10.64
854,5.35,5.48,16.75
855,5.35,4.47,26.79
856,5.47,5.51,17.18
857,5.34,4.48,38.23
858,5.36,5.47,77.01
859,5.46,4.51,12.16
860,5.34,5.49,6.54
861,5.34,4.47,11.24
862,5.34,5.44,38.71
863,5.46,4.47,12.79
864,5.36,5.48,20.14
865,5.34,4.46,7.19
866,5.4,5.48,75.34
867,5.44,5.45,13.2
868,5.4,4.47,106.59
869,5.43,5.5,57.69
870,5.33,4.46,8.92
871,5.36,5.5,28.2
872,5.37,4.53,7.2
873,5.42,5.52,26.54
874,5.42,4.63,20.63
875,5.34,4.52,9.25
876,5.36,5.46,73.69
877,5.45,4.47,24.12
878,5.37,5.51,19.43
879,5.43,5.47,34.38
880,5.37,4.48,9.52
881,5.42,5.46,10.97
882,5.34,4.49,16.49
883,5.47,5.5,9.24
884,5.52,4.51,21.63
885,5.34,5.51,75.78
886,5.34,4.51,8.98
887,5.36,5.46,43.73
888,5.36,4.56,37.18
889,5.38,5.44,9.79
890,5.43,4.48,85.28
891,5.37,5.45,63.03
892,5.45,4.49,16.22
893,5.34,5.48,8.21
894,5.34,4.47,17.14
895,5.35,5.53,14.13
896,5.49,4.54,16.14
897,5.57,5.55,19.15
898,5.36,4.49,21.19
899,5.37,5.51,16.52
900,5.31,4.55,36.23
901,5.54,4.6,15.4
902,5.34,5.63,18.61
903,5.36,4.56,16.45
904,5.45,5.54,19.86
905,5.45,4.58,86.24
906,5.46,5.47,9.23
907,5.53,4.52,23.13
908,5.34,5.48,8.18
909,5.39,4.54,24.02
910,5.43,5.52,21.47
911,5.38,4.5,26.16
912,5.6,5.45,7.16
913,5.33,4.51,11.17
914,5.37,5.45,16.37
915,5.53,4.47,73.32
916,5.46,5.46,11.29
917,5.35,4.51,36.18
918,5.33,5.52,8.19
919,5.32,4.48,25.19
920,5.4,5.54,15.49
921,5.33,4.48,16.19
922,5.34,5.49,27.57
923,5.46,4.5,7.8
924,5.44,5.48,30.21
925,5.34,4.57,10.13
926,5.44,5.53,10.66
927,5.33,4.53,26.28
928,5.38,5.49,13.23
929,5.49,4.46,17.19
930,5.35,5.49,21.13
931,5.34,4.48,21.91
932,5.35,5.56,9.51
933,5.35,4.46,15.05
934,5.39,5.53,15.15
935,5.45,4.48,60.23
936,5.35,5.5,85.62
937,5.43,4.51,28.69
938,5.47,5.46,12.19
939,5.39,4.57,76.56
940,5.38,5.52,42.32
941,5.37,4.51,24.84
942,5.34,5.54,36.39
943,5.35,4.44,8.15
944,5.45,5.48,8.14
945,5.34,4.58,9.6
946,5.35,5.53,14.16
947,5.34,4.64,26.24
948,5.38,4.61,37.55
949,5.55,5.49,9.19
950,5.35,4.52,20.79
951,5.46,5.51,8.61
952,5.45,4.53,10.56
953,5.34,5.55,35.07
954,5.33,4.5,6.19
955,5.36,5.53,8.48
956,5.38,4.49,37.31
957,5.36,5.57,20.73
958,5.35,4.54,8.96
959,5.44,5.54,49.47
960,5.33,4.49,25.8
961,5.33,5.48,11.71
962,5.33,4.51,24.11
963,5.36,5.48,35.33
964,5.31,4.51,8.3
965,5.43,5.49,23.28
966,5.46,4.5,39.32
967,5.35,5.52,14.19
968,5.36,4.44,9.17
969,5.38,5.48,24.26
970,5.4,4.46,9.64
971,5.38,5.5,7.61
972,5.44,4.57,41.2
973,5.35,5.47,16.24
974,5.46,4.48,18.2
975,5.35,5.53,17.18
976,5.47,4.46,15.23
977,5.33,5.54,46.49
978,5.37,4.5,19.61
979,5.28,5.51,16.24
980,5.44,4.52,12.16
